date,rainfall_mm,river_level_m,humidity_percent,latitude,longitude
2025-08-29,102,4.58,66,28.6139,77.209
2025-08-30,270,5.73,48,28.6139,77.209
2025-08-31,106,4.53,76,28.6139,77.209
2025-09-01,71,4.37,72,28.6139,77.209
2025-09-02,188,7.22,90,28.6139,77.209
2025-09-03,20,4.27,81,28.6139,77.209
2025-09-04,102,4.12,83,28.6139,77.209
2025-09-05,121,4.63,63,28.6139,77.209
2025-09-06,214,4.19,54,28.6139,77.209
2025-09-07,87,2.82,98,28.6139,77.209
2025-09-08,99,2.11,93,28.6139,77.209
2025-09-09,151,3.14,71,28.6139,77.209
2025-09-10,130,4.94,71,28.6139,77.209
2025-09-11,149,3.58,63,28.6139,77.209
2025-09-12,257,6.05,80,28.6139,77.209
2025-09-13,293,7.23,91,28.6139,77.209
2025-09-14,191,5.12,88,28.6139,77.209
2025-09-15,276,6.36,88,28.6139,77.209
2025-09-16,160,3.7,97,28.6139,77.209
2025-09-17,21,3.1,91,28.6139,77.209
2025-09-18,252,6.99,51,28.6139,77.209
2025-09-19,235,4.23,78,28.6139,77.209
2025-09-20,48,4.43,41,28.6139,77.209
2025-09-21,58,5.31,42,28.6139,77.209
2025-09-22,169,5.15,88,28.6139,77.209
2025-09-23,187,3.19,76,28.6139,77.209
2025-09-24,270,6.03,88,28.6139,77.209
2025-09-25,189,4.81,95,28.6139,77.209
2025-09-26,174,5.21,56,28.6139,77.209
2025-09-27,50,4.24,98,28.6139,77.209
2025-09-28,54,2.76,88,28.6139,77.209
2025-09-29,243,4.59,41,28.6139,77.209
2025-09-30,130,4.15,41,28.6139,77.209
2025-10-01,134,3.37,67,28.6139,77.209
2025-10-02,20,3.35,93,28.6139,77.209
2025-10-03,166,4.55,62,28.6139,77.209
2025-10-04,273,8.36,76,28.6139,77.209
2025-10-05,88,2.85,71,28.6139,77.209
2025-10-06,13,2.35,72,28.6139,77.209
2025-10-07,241,5.83,40,28.6139,77.209
2025-10-08,264,6.51,58,28.6139,77.209
2025-10-09,52,5.81,41,28.6139,77.209
2025-10-10,91,5.53,92,28.6139,77.209
2025-10-11,263,6.45,83,28.6139,77.209
2025-10-12,34,3.63,65,28.6139,77.209
2025-10-13,205,5.95,71,28.6139,77.209
2025-10-14,80,3.19,45,28.6139,77.209
2025-10-15,49,3.17,71,28.6139,77.209
2025-10-16,1,1.53,94,28.6139,77.209
2025-10-17,53,3.3,43,28.6139,77.209
2025-10-18,105,5.01,94,28.6139,77.209
2025-10-19,259,5.38,50,28.6139,77.209
